restaurant_name,zip_code,price,cuisine,num_review,rating,housing_price,median_income
Goose Island Shrimp House Chicago,60642,5.0,Seafood,20,3.9,968.3705967372098,112241
Pizzeria Bebu,60642,20.5,Pizza,20,4.55,968.3705967372098,112241
Vajra,60642,45.5,Himalayan/Nepalese,20,4.8,968.3705967372098,112241
Flo,60642,20.5,Breakfast & Brunch,20,4.55,968.3705967372098,112241
The Dandy Crown,60642,,American (New),16,4.375,968.3705967372098,112241
Tempesta Market,60642,20.5,Delis,20,4.55,968.3705967372098,112241
Perilla Korean American Fare,60654,,Korean,20,4.45,1107.6704930844228,122492
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.05,1107.6704930844228,122492
Avec River North,60654,,Mediterranean,7,2.857142857142857,1107.6704930844228,122492
Portillo's Hot Dogs,60654,5.0,Hot Dogs,20,3.95,1107.6704930844228,122492
Sir Chicken,60654,,Chicken Shop,8,4.5,1107.6704930844228,122492
Bavette's Bar & Boeuf,60654,45.5,Steakhouses,20,4.5,1107.6704930844228,122492
The Dawson,60654,20.5,American (Traditional),20,3.8,1107.6704930844228,122492
Lil' Ba-Ba-Reeba,60654,,Seafood,7,4.571428571428571,1107.6704930844228,122492
Arbella,60654,20.5,Tapas/Small Plates,20,4.75,1107.6704930844228,122492
True Food Kitchen,60654,20.5,American (New),20,4.1,1107.6704930844228,122492
Maggiano's Little Italy,60654,,Italian,2,5.0,1107.6704930844228,122492
Minahasa,60603,,Indonesian,7,4.857142857142857,1111.5844227050068,146250
The Arch,60604,,American (Traditional),5,4.4,1122.7937885586655,91750
Wake ‘n Bacon,60657,,Breakfast & Brunch,20,4.35,904.66299827412,95173
Chengdu Aroma,60657,20.5,Szechuan,20,4.9,904.66299827412,95173
Lowcountry Lakeview,60657,20.5,Cajun/Creole,20,4.6,904.66299827412,95173
Same Same,60618,20.5,Thai,20,4.4,677.1302844464838,78704
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85,677.1302844464838,78704
XOchimilco Mexican Restaurant,60618,20.5,Mexican,20,4.95,677.1302844464838,78704
Big League Burgers,60618,,Burgers,17,4.411764705882353,677.1302844464838,78704
Le Sud,60618,45.5,Mediterranean,20,4.7,677.1302844464838,78704
Menya Goku By Ramen Wasabi,60618,20.5,Ramen,20,4.55,677.1302844464838,78704
La Malinche Coffee House,60608,,Sandwiches,3,4.0,646.4678323509241,50133
Pl-zen,60608,20.5,Gastropubs,20,4.05,646.4678323509241,50133
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45,1168.474750391551,106906
QBirria Factory,60661,,Mexican,20,4.15,1109.5576603305865,120000
Avec - Chicago,60661,45.5,Mediterranean,20,4.4,1109.5576603305865,120000
Greek Islands Restaurant,60661,20.5,Greek,20,4.2,1109.5576603305865,120000
Haidilao Hot Pot,60616,,Chinese,8,5.0,1001.3332213822993,52162
Qing Xiang Yuan Dumplings,60616,20.5,Barbeque,20,4.6,1001.3332213822993,52162
Sfera Sicilian Street Food,60617,,Sicilian,8,5.0,449.4388350485551,41125
ArePA George,60651,20.5,Colombian,20,4.1,457.5785367179034,38955
Smoque BBQ,60641,20.5,Barbeque,20,4.65,530.0400831357452,63545
JIAN,60602,,Chinese,20,4.0,1077.508802108801,191528
