name,zip_code,price,cuisine,num_review,rating,housing_price,median_income
Same Same,60618,20.5,Thai,20,4.4,662.8823957034,78704
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85,662.8823957034,78704
XOchimilco Mexican Restaurant,60618,20.5,Mexican,20,4.95,662.8823957034,78704
Big League Burgers,60618,0.0,Burgers,17,4.411764705882354,662.8823957034,78704
Menya Goku By Ramen Wasabi,60618,20.5,Ramen,20,4.55,662.8823957034,78704
La Malinche Coffee House,60608,0.0,Sandwiches,3,4.0,651.3594079989433,50133
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45,1282.6057161809783,106906
QBirria Factory,60661,0.0,Mexican,20,4.15,1259.30324370023,120000
Avec - Chicago,60661,45.5,Mediterranean,20,4.3,1259.30324370023,120000
Haidilao Hot Pot,60616,0.0,Chinese,5,5.0,998.164818375335,52162
Sfera Sicilian Street Food,60617,0.0,Sicilian,7,5.0,437.0625528572675,41125
Mogadishu Restaurant,60610,10.0,African,20,4.55,1176.4588865012627,92130
Velvet Taco Gold Coast,60610,20.5,American (New),20,4.45,1176.4588865012627,92130
ArePA George,60651,20.5,Colombian,20,4.1,475.92579309765733,38955
